task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_active_params,n_deterministic_nonzero_params,n_inactive_zero_params,operationally_resolvable_fraction,deterministic_nonzero_labels,inactive_zero_labels,n_circuit_theta_params,n_residual_alpha_params,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,19,3,sum,12.139355965573316,9.453011606585438,6.850079416059772,3.0252911298890943,29.197773210401337,12,12,0,0,1.0,,,12,0,0.5282432019326831
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,20,3,sum,12.010864432643304,5.892839421445571,10.55624259924111,1.5717364332834227,30.59555615906202,12,12,0,0,1.0,,,12,0,0.4339141435427399
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,21,3,sum,8.55321038927814,8.308210458509722,7.002320422346921,0.37186764667823263,24.978743429757603,12,12,0,0,1.0,,,12,0,0.26977943032882684
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,22,3,sum,13.361257921758037,13.155188244206078,5.6882861304852375,1.9111458633032434,23.96025177871524,12,12,0,0,1.0,,,12,0,0.4883075105628296
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,23,3,sum,14.563573714688458,10.777817508111202,8.97377804262788,2.3999366494654053,29.171520956212245,12,12,0,0,1.0,,,12,0,0.49002834525970274
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,24,3,sum,12.50270984420488,13.197123625827071,3.1183921314878713,6.3570176066263056,16.025377828921528,12,12,0,0,1.0,,,12,0,0.40252587072715573
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,25,3,sum,20.007995021146858,12.323021731095743,15.87489110365447,1.4937286532163256,48.35400119927694,12,12,0,0,1.0,,,12,0,0.7386853159007202
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,26,3,sum,16.563841323967207,16.4705933309114,5.268297541852913,7.685126671841925,29.389235020204396,12,12,0,0,1.0,,,12,0,0.6232091483468818
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,27,3,sum,18.033442997510022,16.80476908855313,9.71528319084017,2.8473984595197415,36.047309759553144,12,12,0,0,1.0,,,12,0,0.5185281556673543
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,28,3,sum,11.34837186452713,9.807354149975108,6.365802455953693,1.1793020656767204,19.285551383972436,12,12,0,0,1.0,,,12,0,0.4592812908806619
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,29,3,sum,13.985563445332131,10.891939468495043,8.815743663538392,1.6884114448519332,27.05760221211264,12,12,0,0,1.0,,,12,0,0.4955180841566113
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,30,3,sum,19.554066636248397,22.624245628779377,10.929159243402609,0.7303359404551686,36.118171063746104,12,12,0,0,1.0,,,12,0,0.8434844666342047
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,31,3,sum,10.981748112346269,10.545910320431041,6.53534369791261,0.4353036442204207,27.47796193960141,12,12,0,0,1.0,,,12,0,0.42642995514064297
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,32,3,sum,11.888576329700816,7.801283504036311,7.985580614528389,2.930328350699198,25.031801102504527,12,12,0,0,1.0,,,12,0,0.46184273482716337
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,33,3,sum,15.675084942600279,10.44138317638274,12.826655956140787,3.578820693102477,39.63125644000989,12,12,0,0,1.0,,,12,0,0.5415133431790474
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,34,3,sum,17.55296460080555,14.990726204785002,14.323849749649973,1.3787876455667225,57.87426333422309,12,12,0,0,1.0,,,12,0,0.6341853988747282
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,35,3,sum,8.739107238588206,8.507517293982533,4.430086868387466,2.351031095365504,14.925578822260915,12,12,0,0,1.0,,,12,0,0.3496472224153507
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,36,3,sum,14.947120012709206,14.91480191932582,10.564065254652103,2.682352907078604,43.662794688577314,12,12,0,0,1.0,,,12,0,0.6449028294357146
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,37,3,sum,11.763763452844474,12.447096442642323,4.560525061041427,4.122594193768172,21.132075876493655,12,12,0,0,1.0,,,12,0,0.41554298321669636
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,38,3,sum,12.819353215631986,10.790710192572197,10.997183192703526,0.47751251265638617,35.37625899279766,12,12,0,0,1.0,,,12,0,0.4523935758987774
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,39,3,sum,17.808232389498848,14.868731485605263,10.957574009554437,4.497517942361783,36.27050307180609,12,12,0,0,1.0,,,12,0,0.6872678523677322
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,40,3,sum,11.597326026120257,12.239562450596418,8.262582664314507,0.09871812483534703,25.519020742614547,12,12,0,0,1.0,,,12,0,0.41044573452690153
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,41,3,sum,14.343480288274264,12.06800122478459,11.086566862651566,0.1239079328461396,31.26476315391174,12,12,0,0,1.0,,,12,0,0.542965497864705
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,42,3,sum,13.755747406807211,9.744725125643363,9.518424515440731,3.5760667233103725,27.187166201610818,12,12,0,0,1.0,,,12,0,0.5229652983411922
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,43,3,sum,11.572361466426798,10.448919528374871,10.797655898488646,0.07274975411777528,40.90858202463466,12,12,0,0,1.0,,,12,0,0.3743594887985184
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,44,3,sum,15.890722571072649,12.324187641268633,15.195323574630429,0.40987991718232536,52.706833289060235,12,12,0,0,1.0,,,12,0,0.5074677411589773
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,45,3,sum,17.390469477429512,14.739279964468095,12.648814772970992,2.9789664912498526,42.77784722594565,12,12,0,0,1.0,,,12,0,0.6717586730906238
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,46,3,sum,13.799964911724208,14.819207176664111,7.153702905514612,2.132338979903104,23.356758026625183,12,12,0,0,1.0,,,12,0,0.5461269876384172
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,47,3,sum,15.791003975088358,15.104262511365294,9.054598628202124,0.8737344327092287,29.27807289587789,12,12,0,0,1.0,,,12,0,0.49494174234492244
