task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,n_deterministic_params,deterministic_labels,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,13,3,sum,12.258314727728502,11.677613411176097,4.935747834822274,6.599949966096731,19.84072318378516,6,6,0,,0.2846639037723179
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,14,3,sum,18.541953149505606,19.76426103775733,11.90040128058692,4.947445030957424,33.07423672781904,6,6,0,,0.44846657331593914
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,15,3,sum,43.80634817240625,24.82480764942497,41.853385183572094,5.275684132980203,101.31855273481358,6,6,0,,0.6533474010930743
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,16,3,sum,47.09697749042226,44.30320897958107,40.93292338605985,3.9922259779791993,101.37680304623008,6,6,0,,0.6986771033786005
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,17,3,sum,12.730373817428678,16.235750563347757,7.791661205163808,2.112404936694113,21.701598268008112,6,6,0,,0.24304141483083785
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,18,3,sum,15.087591364769894,11.473146154699545,7.828055004728111,7.837001315950089,25.95262662366005,6,6,0,,0.3265027265413522
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,19,3,sum,105.89383505302521,67.39425742011147,101.88434673107687,7.285440810584592,239.39540624979043,6,6,0,,0.80198758184331
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,20,3,sum,27.226139298424858,10.658565897556107,43.668728133898064,1.8918130690026993,124.24184078394043,6,6,0,,0.3609557173239248
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,21,3,sum,31.885084518150553,15.691497739280972,40.836717409496615,6.022787803268707,122.5217283485107,6,6,0,,0.480298803946013
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,22,3,sum,18.59518563642378,16.357233870229756,14.411547289203988,1.1998157521437252,35.66020457010575,6,6,0,,0.39241630062283067
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,23,3,sum,33.507154337465515,22.78626675828609,23.067454791779596,8.661461794436196,65.04797877767868,6,6,0,,0.6497757260945354
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,24,3,sum,34.570222723714835,21.604736606690718,21.239712058137854,14.894839189716235,64.43584818869626,6,6,0,,0.6412831742869439
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,25,3,sum,20.861625049462223,16.119658952401885,12.807241610686036,11.477163899746758,49.21395058741905,6,6,0,,0.47646249605679447
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,26,3,sum,14.512266700100307,14.728286669015247,11.000968326636531,1.625202672178969,25.73443480245285,6,6,0,,0.3605099400986451
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,27,3,sum,23.009588781415147,15.247466327872619,19.418839951613503,4.091751582694556,49.68954843367826,6,6,0,,0.4152187683545989
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,28,3,sum,33.097943421674216,18.695120456348505,33.215090913074796,16.4644984459804,107.34268025867088,6,6,0,,0.5208989891246473
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,29,3,sum,85.14947327781334,67.02488408561686,78.95186016004124,5.745434505962415,180.62491019022653,6,6,0,,0.6193493329019285
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,30,3,sum,21.071990648612232,17.32824878606373,19.12828370972002,1.053501995378234,55.70963485125648,6,6,0,,0.4278384253981525
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,31,3,sum,9.100625777583348,7.635121756711889,3.214571850558607,6.437461559634809,15.40055388892402,6,6,0,,0.233451806928521
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,32,3,sum,25.02592163093747,12.951219412649706,31.963926106653126,2.3750525243639165,95.97559961066206,6,6,0,,0.4199091371975558
