configuration_id,E,L,R,depth,budget,analysis_mode,cost_type,total_requested_shots,total_realized_shots,total_jobs,shifted_jobs,forward_feature_jobs,node_jacobian_jobs,objective_observable_jobs,objective_observable_settings,minimum_shots_per_job,mean_shots_per_job,median_shots_per_job,maximum_shots_per_job,zero_shot_jobs,base_shots,remainder_shots,remainder_policy
3,0,1,0,1,250,finite_shot_end_to_end,local,250,250,16,16,0,0,16,2,15,15.625,16.0,16,0,15,10,"sorted(block,parameter,shift,basis)"
3,0,1,0,1,500,finite_shot_conditional,local,500,500,16,16,0,0,16,2,31,31.25,31.0,32,0,31,4,"sorted(block,parameter,shift,basis)"
3,0,1,0,1,500,finite_shot_end_to_end,local,500,500,16,16,0,0,16,2,31,31.25,31.0,32,0,31,4,"sorted(block,parameter,shift,basis)"
3,0,1,0,1,1000,finite_shot_conditional,local,1000,1000,16,16,0,0,16,2,62,62.5,62.5,63,0,62,8,"sorted(block,parameter,shift,basis)"
3,0,1,0,1,1000,finite_shot_end_to_end,local,1000,1000,16,16,0,0,16,2,62,62.5,62.5,63,0,62,8,"sorted(block,parameter,shift,basis)"
3,0,1,0,1,2000,finite_shot_conditional,local,2000,2000,16,16,0,0,16,2,125,125.0,125.0,125,0,125,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,1,2000,finite_shot_end_to_end,local,2000,2000,16,16,0,0,16,2,125,125.0,125.0,125,0,125,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,250,finite_shot_conditional,local,250,250,24,24,0,8,16,2,10,10.416666666666666,10.0,11,0,10,10,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,250,finite_shot_end_to_end,local,250,250,25,24,1,8,16,2,10,10.0,10.0,10,0,10,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,500,finite_shot_conditional,local,500,500,24,24,0,8,16,2,20,20.833333333333332,21.0,21,0,20,20,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,500,finite_shot_end_to_end,local,500,500,25,24,1,8,16,2,20,20.0,20.0,20,0,20,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,1000,finite_shot_conditional,local,1000,1000,24,24,0,8,16,2,41,41.666666666666664,42.0,42,0,41,16,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,1000,finite_shot_end_to_end,local,1000,1000,25,24,1,8,16,2,40,40.0,40.0,40,0,40,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,2000,finite_shot_conditional,local,2000,2000,24,24,0,8,16,2,83,83.33333333333333,83.0,84,0,83,8,"sorted(block,parameter,shift,basis)"
3,0,1,0,2,2000,finite_shot_end_to_end,local,2000,2000,25,24,1,8,16,2,80,80.0,80.0,80,0,80,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,3,250,finite_shot_conditional,local,250,250,32,32,0,16,16,2,7,7.8125,8.0,8,0,7,26,"sorted(block,parameter,shift,basis)"
3,0,1,0,3,250,finite_shot_end_to_end,local,250,250,34,32,2,16,16,2,7,7.352941176470588,7.0,8,0,7,12,"sorted(block,parameter,shift,basis)"
3,0,1,0,3,500,finite_shot_conditional,local,500,500,32,32,0,16,16,2,15,15.625,16.0,16,0,15,20,"sorted(block,parameter,shift,basis)"
3,0,1,0,3,500,finite_shot_end_to_end,local,500,500,34,32,2,16,16,2,14,14.705882352941176,15.0,15,0,14,24,"sorted(block,parameter,shift,basis)"
